scene,view,parent,child,parent_gt,child_gt,same,cos
n1_scene0001,view_el30_az135,mask_002.png,mask_007.png,002_master_chef_can,002_master_chef_can,True,0.504847490650509
n1_scene0001,view_el30_az135,mask_002.png,mask_008.png,002_master_chef_can,002_master_chef_can,True,0.5486225986685249
n1_scene0001,view_el30_az135,mask_002.png,mask_009.png,002_master_chef_can,002_master_chef_can,True,0.5036514117123366
n1_scene0001,view_el30_az195,mask_001.png,mask_007.png,002_master_chef_can,002_master_chef_can,True,0.5544938625488571
n1_scene0001,view_el30_az195,mask_001.png,mask_008.png,002_master_chef_can,002_master_chef_can,True,0.5002512903775261
n1_scene0001,view_el30_az210,mask_001.png,mask_008.png,002_master_chef_can,002_master_chef_can,True,0.5661755037873126
n1_scene0001,view_el30_az210,mask_001.png,mask_010.png,002_master_chef_can,002_master_chef_can,True,0.42996000413255675
n1_scene0001,view_el30_az240,mask_002.png,mask_008.png,002_master_chef_can,002_master_chef_can,True,0.47206323415480594
n1_scene0001,view_el30_az240,mask_002.png,mask_010.png,002_master_chef_can,002_master_chef_can,True,0.4579736164065459
n1_scene0001,view_el45_az135,mask_004.png,mask_011.png,002_master_chef_can,002_master_chef_can,True,0.5418591217819162
n1_scene0001,view_el45_az135,mask_004.png,mask_012.png,002_master_chef_can,002_master_chef_can,True,0.4998165554329791
n1_scene0001,view_el45_az135,mask_006.png,mask_016.png,002_master_chef_can,002_master_chef_can,True,0.493882845410227
n1_scene0001,view_el45_az225,mask_002.png,mask_004.png,002_master_chef_can,002_master_chef_can,True,0.5238022512516431
n1_scene0001,view_el45_az225,mask_002.png,mask_008.png,002_master_chef_can,002_master_chef_can,True,0.5098937493381583
n1_scene0001,view_el45_az225,mask_002.png,mask_010.png,002_master_chef_can,002_master_chef_can,True,0.4185617597658582
n1_scene0001,view_el45_az225,mask_002.png,mask_013.png,002_master_chef_can,002_master_chef_can,True,0.5464653210944417
n1_scene0001,view_el45_az225,mask_004.png,mask_010.png,002_master_chef_can,002_master_chef_can,True,0.577637411394856
n1_scene0001,view_el45_az225,mask_008.png,mask_013.png,002_master_chef_can,002_master_chef_can,True,0.44828625192593263
